,Albany,Batavia,Binghamton,Buffalo,Dutchess,Elmira,Glens Falls,Ithaca,Kingston,New York City,Rochester,Syracuse,Utica,Watertown,White Plains
Miles,148,344,179,398,82.7,233,199,226,97,0,335,230,238,318,32
Time,141,323,171,360,90,217,187,227,98,0,306,249,218,291,41
